ID,名称,地区,类别,上映日期
200,2017年国产爱情片《前任3：再见前任》BD国语中字,中国大陆,喜剧/爱情,2017-12-29(中国大陆)
201,2018年美国6.0分动作片《环太平洋：雷霆再起》BD中英双字,美国/中国,动作,2018-03-23(美国/中国大陆)
202,2018年国产奇幻片《捉妖记2》BD国粤双语中字,中国大陆,喜剧/奇幻,2018-02-16(中国大陆)
203,2018年美国6.3分动作片《古墓丽影：源起之战》BD中英双字,美国,动作/冒险,2018-03-16(美国/中国大陆)
204,2017年欧美7.0分悬疑片《东方快车谋杀案》BD中英双字,美国/马耳他,剧情/犯罪/悬疑,2017-11-10(美国/中国大陆)/2017-11-03(英国)
205,2018年国产7.7分剧情片《无问西东》HD国语中字,中国大陆,剧情/爱情/战争,2018-01-12(中国大陆)
206,2017年国产7.9分剧情片《芳华》BD中字,中国大陆,剧情/历史/战争,2017-12-15(中国大陆)/2017-09-07(多伦多电影节)
207,2018年国产奇幻片《西游记之女儿国》BD国粤双语中字,中国大陆/香港,喜剧/爱情/奇幻,2018-02-16(中国大陆)
208,2017年国产7.0分奇幻片《妖猫传》BD国语中字,中国大陆/日本,剧情/悬疑/奇幻/古装,2017-12-22(中国大陆)/2018-02-24(日本)
209,2017年美国7.2分动作片《勇敢者游戏：决战丛林》BD双语双字,美国,动作/奇幻/冒险,2018-01-12(中国大陆)/2017-12-20(美国)
210,2017年美国7.5分剧情片《水形物语》BD中英双字修复,美国,剧情/奇幻/冒险,2018-03-16(中国大陆)/2017-08-31(威尼斯电影节)/2017-12-01(美国)
211,2015年美国8分科幻动画片《超能陆战队》BD国粤英中英双字, 美国, 喜剧/动作/科幻/动画/冒险, 2015-02-28(中国大陆)/2014-11-07(美国)
212,2017年欧美8.3分战争片《敦刻尔克》BD国英双语中英双字,英国/法国/美国/荷兰,剧情/历史/战争,2017-09-01(中国大陆)/2017-07-13(伦敦首映)/2017-07-21(美国)
213,2017年国产7.2分喜剧片《羞羞的铁拳》HD高清国语中英双字,中国大陆,喜剧/奇幻,2017-09-30(中国大陆)
214,2017年国产7.4分动作片《战狼2》BD国语中英双字,中国大陆,动作,2017-07-27(中国大陆)
215,2017年欧美7.2分动作片《王牌特工2：黄金圈》BD中英双字,英国/美国,喜剧/动作/冒险,2017-10-20(中国大陆)/2017-09-20(英国)/2017-09-22(美国)
216,2017年法国7.1分动作片《星际特工：千星之城》BD中英双字,法国,动作/科幻/冒险,2017-08-25(中国大陆)/2017-07-20(德国)/2017-07-26(法国)
217,2017年欧美7.0分科幻片《猩球崛起3：终极之战》BD双语中英双字,美国,剧情/动作/科幻,2017-09-15(中国大陆)/2017-07-14(美国)
218,2017年美国7.5分科幻片《蜘蛛侠：英雄归来》BD中英双字,美国,动作/科幻/冒险,空
219,2017年欧美7.3分动作片《加勒比海盗5：死无对证》BD中英双字,美国,动作/奇幻/冒险,
220, 2017年美国7.4分科幻片《异形：契约》BD中英双字,美国,科幻/惊悚/恐怖,2017-06-16(中国大陆)/2017-05-10(法国)/2017-05-19(美国)
221,2017年美国6.6分动作片《攻壳机动队真人版》BD国英双语中英双字,美国,动作/科幻/犯罪,2017-04-07(中国大陆)/2017-03-29(法国)/2017-03-31(美国)
222,2017年美国6.8分动作片《金刚：骷髅岛》BD国英双语中英双字,美国,动作/奇幻/冒险,2017-03-24(中国大陆)/2017-02-28(伦敦首映)/2017-03-10(美国)
223,2017年国产奇幻片《西游伏妖篇》BD国粤双语中字,中国大陆/香港,喜剧/动作/奇幻/古装,2017-01-28(中国大陆)
224, 2017年国产6.3分喜剧片《功夫瑜伽》BD国语中字,中国,喜剧/动作/冒险,2017-01-28(中国大陆)
225,2017年欧美动作片《刺客信条》BD中英双字,美国/英国/法国/香港,动作/历史/科幻/冒险,分 7.0/10 from 432 users
226,2016年美国7.8分科幻片《奇异博士》BD中英双字,美国,动作/科幻/奇幻/冒险,2016-11-04(中国大陆/美国) / 2016-10-25(英国)
227,2016年国产6.6分动作片《三少爷的剑》BD国语中字,中国大陆,剧情/动作/武侠/古装,2016-12-02(中国大陆) / 2016-10-21(罗马国际电影节)
228,2016年国产7.5分纪录片《我在故宫修文物》HD高清国语中字,中国大陆,纪录片,2016-12-16(中国大陆)
229,2016年美国6.3分动作片《侠探杰克：永不回头》BD中英双字,美国,剧情/动作/犯罪/悬疑/惊悚,2016-10-21(中国大陆/美国)
230,2016年国产6.8分喜剧片《我不是潘金莲》BD高清国语中英双字,中国大陆,剧情/喜剧,2016-11-18(中国大陆) / 2016-09-08(多伦多电影节)
231,2016年国产犯罪片《少年》HD高清国语中字,中国大陆,犯罪/悬疑,2016-12-16(中国大陆)
232,2016年欧美7.7分奇幻片《神奇动物在哪里》HD1280高清韩版中字,英国/美国,剧情/奇幻/冒险,2016-11-25(中国大陆) / 2016-11-18(美国/英国)
233,2016年刘德华黄晓明喜剧片《王牌逗王牌》BD国粤双语中字,中国大陆/香港,喜剧/动作/冒险,2016-09-30(中国大陆)
234,2106年国产8.1分动作片《湄公河行动》BD国语中字,中国大陆/香港,动作/犯罪,2016-09-30(中国大陆) / 2016-10-07(台湾)
235,2016年6.2分动作片《邻家大贱谍》BD中英双字,美国,剧情/喜剧/动作,2016-11-08(中国大陆) / 2016-10-21(美国)
236,2016年美国6.4分悬疑片《但丁密码》BD中英双字,美国/匈牙利,悬疑/惊悚,2016-10-28(中国大陆/美国)
237,2016年美国6.6分惊悚片《火车上的女孩》BD中英双字,美国,悬疑/惊悚,2016-10-07(美国) / 2016-10-05(英国)
238,2016年欧美7.5分动画片《魔发精灵》BD中英双字,美国,动画/奇幻/冒险/歌舞,2016-10-28(中国大陆) / 2016-11-04(美国)
239,2016年6.8分爱情片《28岁未成年》HD国语中英双字,中国大陆,喜剧/爱情/奇幻,2016-12-09(中国大陆)
240,2016年欧美喜剧片《超新约全书》BD法语中字,比利时/法国/卢森堡,喜剧/奇幻,2015-05-17(戛纳电影节) / 2015-09-01(比利时)
241,2016年7.9分动画片《航海王之黄金城》BD日语中字,日本,剧情/动作/动画/冒险,2016-11-11(中国大陆) / 2016-07-23(日本)
242,2016年美国7.2分动作片《会计刺客》BD中英双字,美国,剧情/动作/犯罪/惊悚,2016-10-14(美国)
243,2016美国7.6分剧情片《斯诺登/斯诺登风暴》BD中英双字,美国 / 德国,剧情 惊悚 传记,2016-09-09(多伦多电影节) / 2016-09-16(美国)
244,2016年日本8.4分喜剧片《濑户内海》BD日语中字,日本,剧情/喜剧,2016-06-12(上海电影节) / 2016-07-02(日本)
245,2016年日本7.1分动画片《哆啦A梦：新・大雄的日本诞生》BD国粤日语中字,日本,动画,2016-07-22(中国大陆) / 2016-03-05(日本)
246,2016年国产奇幻片《封神传奇/封神榜》BD国粤双语中字,香港 / 中国大陆,剧情 / 动作 / 奇幻,2016-07-29(中国大陆)
247,2016年美国7.7分动画片《逗鸟外传：萌宝满天飞》BD中英双字,美国,喜剧/动画,2016-09-23(中国大陆/美国)
248,2016年国产动作片《惊天破》BD国粤双语中字,2016-10-20(香港/中国大陆)/2016-06-13(上海国际电影节),中国大陆/香港,中文字幕
249,2016年国产动作片《危城》BD国粤双语中字,中国大陆/香港,剧情/动作/犯罪/武侠/古装,2016-08-12(中国大陆)
250,2016年美国7.2分动作片《豪勇七蛟龙》BD中英双字,美国,动作/西部,2016-09-08(多伦多电影节) / 2016-09-23(美国)
251,2016年国产喜剧片《从你的全世界路过》HD国语中英双字,喜剧/爱情,英语,5.5/10 from 93103 users
252,2016年美国7.4分奇幻片《佩小姐的奇幻城堡》BD中英双字,美国,剧情/奇幻/冒险,2016-12-02(中国大陆) / 2016-09-30(美国)
253,2016年国产6.1分悬疑片《捉迷藏》HD高清国语中英双字,中国大陆,犯罪/悬疑/惊悚,2016-11-04(中国大陆)
254,2016年日本8.3分剧情片《比海更深/比海还深(台)》BD中字,日本,剧情,2016-05-18(戛纳国际电影节) / 2016-05-21(日本)
255,2016年美国6.8分奇幻片《圆梦巨人》BD国英双语中英双字,美国/英国,奇幻/冒险,2016-10-14(中国大陆) / 2016-07-01(美国) / 2016-05-14(戛纳电影节)
256,2016年国产大陆片《我们的十年》HD国语中字,中国,剧情/爱情,2016-09-02(中国大陆)
257,2016年美国6.7分动作片《X特遣队》BD中英双字,美国,喜剧/动作/冒险,2016-08-05(美国)
258,2016年美国7分动作片《机械师2：复活》BD中英双字,法国/美国,动作/犯罪/惊悚,2016-10-21(中国大陆) / 2016-08-26(美国) / 2016-08-31(法国)
259,2016年国产7.3分爱情片《长江图》HD国语中英双字,中国大陆,剧情/爱情,2016-01-22(圣丹斯电影节) / 2016-06-24(美国)
260,2016年美国8.1分剧情片《赴汤蹈火》BD中英双字,美国,剧情/犯罪,2016-05-16(戛纳电影节) / 2016-08-12(美国) / 2016-09-09(英国)
261,2016年国产真人奇幻片《爵迹》HD国语中字,中国大陆,动画 / 奇幻,2016-01-22(圣丹斯电影节) / 2016-06-24(美国)
262,2016年国产奇幻剧《大话西游3》BD国粤双语中字,2016-09-14(中国大陆),中国大陆,中文 / 英文
263,2016年美国8.2分动画片《魔弦传说》BD中英双字,美国,动画/冒险,2016-08-19(美国)
264,2016年美国7.3分剧情片《军火贩》BD中英双字,美国,剧情/喜剧/战争,2016-08-19(美国)
265,2016年美国7.5分恐怖片《屏住呼吸/禁室杀戮》BD中英双字,美国,剧情/悬疑/恐怖,2016-03-12(西南偏南电影节) / 2016-08-26(美国)
266,2016年7.6分美国动画片《爱宠大机密》BD国粤英三语中字,美国,喜剧/动画,7.6/10 from 62708 users
267,2016年日本恐怖片《请叫我英雄》BD日语中字,日本,动作 / 恐怖,2016-04-23(日本)
268,2016年美国7.7分动画片《海底总动员2》BD中英双字,2016-06-17(中国大陆/美国),美国,中文
269,2016年日本7.6分动画片《名侦探柯南：纯黑的噩梦》BD日语中字,动画/悬疑,日语,6.6/10 from 6387 users
270,2016年林心如任达华爱情惊悚片《魔宫魅影》BD国语中字, 中国大陆, 剧情 / 爱情 / 惊悚,2016-04-29(中国大陆)
271,2016年国产7.6分爱情片《七月与安生》HD国语中字,中国大陆/香港,剧情/爱情,2016-09-14(中国大陆) / 2016-10-27(香港)
272,2016年国产7.6分喜剧片《追凶者也》HD国语中英双字,中国大陆,剧情/喜剧/犯罪,2016-09-14(中国大陆)
273,2015年国产6.7分悬疑片《黑处有什么》HD国语中英双字,中国大陆,剧情/犯罪/悬疑,2016-10-14(中国大陆) / 2015-07-23(FIRST青年电影展)
274,2016年美国7.4分动画片《香肠派对》BD中英双字,美国,动画/冒险/喜剧,2016-08-12(美国)
275,2016年国产刘烨王珞丹战争片《我的战争》HD国语中英双字,2016-09-15(中国大陆),中国大陆,中文字幕
276,2016年成龙范冰冰动作片《绝地逃亡》BD中英双字,中国大陆/美国/香港,喜剧/动作,2016-07-29(中国大陆)
277,2016年美国6.4分科幻片《超能敢死队》HD中英双字,美国,动作/喜剧/科幻,2016-07-15(美国)
278,2016年美国7.1分犯罪片《玩命直播》BD中英双字幕,美国,犯罪/奇幻/冒险,2016-01-22(圣丹斯电影节) / 2016-06-24(美国)
279,2016年美国8.1分喜剧片《神奇队长》BD中英双字,美国,剧情/喜剧/爱情,2016-01-23(圣丹斯电影节) / 2016-07-08(美国)
280,2016年美国6.4分科幻片《独立日：卷土重来》BD中英双字,美国,动作/科幻/冒险/灾难,"分　6.4/10 from 62,432 users"
281,2016年日本6.6分爱情片《狼少女与黑王子》BD日语中字,日本,爱情,2016-05-28(日本)
282,2016年陈坤白百何剧情片《火锅英雄》BD国语中字, 中国大陆, 剧情,2016-04-01(中国大陆)
283,2016年美国6.8分恐怖《关灯后》BD中英双字,美国,恐怖,2016-07-22(美国)
284,2016年韩国7.9分悬疑片《哭声》BD韩语中字,韩国,剧情/悬疑/惊悚,2016-05-11(韩国) / 2016-05-18(戛纳电影节) / 2016-07-27(FIRST青年电影展)
285,2016年法国7.8分惊悚片《她/烈女本色(港)》BD中英双字,法国 / 德国 / 比利时,剧情 / 惊悚,2016-05-21(戛纳电影节) / 2016-05-25(法国) / 2016-06-02(荷兰)
286,2016年国产7.2分动作片《赏金猎人》BD国粤双语中字,中国大陆 / 韩国 / 香港,剧情 / 喜剧 / 动作,2016-07-01(中国大陆)
287,2016年国产6.6分动画片《大鱼海棠》BD国语中字,中国大陆,剧情/动画/奇幻,2016-07-08(中国大陆)
288,2016年舒淇冯绍峰爱情片《我最好朋友的婚礼》HD中英双字,中国/美国,喜剧/爱情,2016-08-05(中国大陆)
289,2016年美国7.5分科幻片《星际迷航3：超越星辰》BD中英双字,美国,动作/科幻/冒险,2016-09-02(中国大陆) / 2016-07-22(美国)
290,2016年美国6.5分动作片《人类清除计划3》BD中英双字,2016 年,法国/美国,中英双字幕
291,2016年美国7.1分爱情片《咖啡公社》BD中字,美国,剧情/喜剧/爱情,2016-05-11(法国) / 2016-05-19(西雅图国际电影节) / 2016-07-29(美国)
292,2016年美国6.7分动作片《泰山归来：险战丛林》BD中英双字,美国,动作/冒险,分　6.7/10 from 34843 users
293,2016年国产爱情片《微微一笑很倾城电影版》BD国语中英双字,中国大陆,爱情,2016-08-12(中国大陆)
294,2016年国产悬疑片《盗墓笔记》BD国语中英双字,2016-08-05(中国大陆),中国大陆,简体中文 / 英文
295,2016年美国6.8分动作片《乌龙特工》BD中英双字,2016 年,美国,中文字幕
296,2016年国产赵薇古天乐警匪动作片《三人行》BD国粤双语中字,中国大陆/香港,剧情/动作/犯罪,2016-06-24(中国大陆)/2016-06-30(香港)
297,2016年国产喜剧片《那件疯狂的小事叫爱情》HD国语中英双字, 中国, 喜剧/爱情, 2016-08-12(中国大陆)
298,2016年国产爱情片《夏有乔木 雅望天堂》HD国语中英双字,中国大陆,爱情,2016-08-05(中国大陆)
299,2016年国产7.5分犯罪片《惊天大逆转》HD高清国语中字,中国大陆 / 韩国,剧情 / 悬疑 / 犯罪, 2016-07-15(中国大陆)
300,2015年韩国6.4分历史片《奸臣》BD韩语中字,韩国,剧情/历史,分　6.0/10 from 223 users
301,2016年美国7.8分恐怖片《招魂2》BD中英双字,美国,悬疑/惊悚/恐怖,"分　7.8/10 from 66,964 users"
302,2016年国产6.7喜剧片《北京遇上西雅图之不二情书》BD国语中字,中国大陆/香港,喜剧/爱情,2016-04-29(中国大陆)
303,2016年英国7.7分爱情片《遇见你之前》BD中英双字,英国,剧情/爱情,2016-05-20(中国大陆) / 2016-03-08(曼谷首映) / 2016-03-18(美国)
304,2015年美国7.8分战争片《地雷区》BD中字,丹麦/德国,剧情/历史/战争,"分　7.8/10 from  3,974 users"
305,2015年瑞典剧情片《一个叫欧维的男人决定去死》BD瑞典语中字,瑞典,剧情/喜剧,2015-12-25(瑞典)
306,2016年国产爱情片《陆��知马俐 》BD国语中英双字, 中国, 喜剧/爱情, 2016-07-15(中国大陆)
307,2016年国产喜剧片《快手枪手快枪手》HD高清国语中英双字,中国大陆,喜剧 / 动作,2001-08-10(美国)
308,2016年俄罗斯7.7分动作片《火海凌云》BD中字,俄罗斯,动作/剧情/冒险,2001-08-10(美国)
309,2016年美国6.8分犯罪片《金钱怪兽》BD中英双字,美国,犯罪/剧情/惊悚,2016-05-12(戛纳电影节) / 2016-05-13(美国)
310,2016年美国7.8分奇幻片《奇幻森林》BD双语双字,美国,剧情/奇幻/冒险,分　7.8/10 from 101239 users
311,2016年6.2分美国科幻动作片《猎神：冬日之战》BD双语双字,美国,剧情/动作/奇幻/冒险,2016-04-22(中国大陆/美国)
312,2016年韩国8.1分惊悚片《小姐/下女诱罪》HD高清韩语中字,韩国,剧情/惊悚/同性,2016-05-14(戛纳电影节) / 2016-06-01(韩国)
313,2016年美国7.7分喜剧片《耐撕侦探》BD中英双字,美国/英国,喜剧/动作/犯罪,2016-05-20(美国)
314,2016年国产7.2分剧情片《路边野餐》HD国语中字,中国大陆,剧情,2016-07-15(中国大陆) / 2015-08-11(洛迦诺电影节)
315,2015年冯小刚许晴动作犯罪片《老炮儿》BD国语中字,中国大陆,剧情/动作/犯罪, 2015-12-24(中国大陆)/2015-09-09(威尼斯电影节)
316,2016年美国6.4分动作犯罪片《超脑48小时》BD双语双字,英国 / 美国,剧情 / 动作 / 悬疑 / 惊悚 / 犯罪,2016-05-13(中国大陆) / 2016-04-15(英国/美国)
317,2016年美国7分传记运动片《黑色闪电/奔腾人生》BD中英双字,法国/德国/加拿大,剧情/传记/运动,2016-02-19(美国/加拿大)/2016-05-05(德国)
318,2015年日本8.6分动画片《火影忍者剧场版：博人传》BD日语中字,动作/动画/冒险,日语,"8.5/10 from 10,907 users"
319,2015年刘畅白百何爱情片《陪安东尼度过漫长岁月》BD国语中字, 中国大陆, 剧情/爱情, 2015-11-13(中国大陆)
320,2016年爱尔兰8.2分剧情片《初恋这首情歌》BD中英双字,爱尔兰,剧情/喜剧/歌舞,2016-03-18(爱尔兰)
321,2016年洪金宝刘德华动作冒险片《我的特工爷爷》BD国粤双语中字,香港/中国大陆,剧情/动作/冒险,2016-04-01(中国大陆)
322,2016年国产刘亦菲刘烨爱情片《夜孔雀》HD高清国语中字,中国大陆,喜剧 / 爱情,2016-05-20(中国大陆) / 2015-08-31(釜山电影节)
323,2016年韩国6.1分爱情喜剧片《我的新野蛮女友》HD韩语中字,韩国/中国大陆,喜剧/爱情,2016-04-22(中国大陆)
324,2016年美国5.8分动作科幻片《分歧者3：忠诚世界》BD中英双字,美国,动作/爱情/科幻/冒险,2016-05-20(中国大陆) / 2016-03-08(曼谷首映)
325,2016年美国科幻动作片《蝙蝠侠大战超人：正义黎明》中英双字,美国,动作/科幻/奇幻/冒险,2016-03-25(中国大陆/美国)
326,2016年香港陈小春任贤齐犯罪片《树大招风》BD国粤双语中字,中国香港,犯罪/惊悚,中文字幕
327,2016年国产黄晓明徐峥历史片《大唐玄奘》HD高清国语中字,中国大陆,历史,中文
328,2015年美国俄罗斯6.9分科幻动作片《硬核亨利》BD中英双字,俄罗斯/美国,动作/科幻/冒险,2015-09-12(多伦多国际电影节) / 2016-04-08(美国)
329,2016年美国7.6分喜剧运动片《飞鹰艾迪/飞跃奇迹》BD双语双字,英国/美国/德国,剧情/喜剧/传记/运动,2016-03-18(中国大陆)/2016-02-26(美国)
330,2015年英国7.7分战争片《天空之眼》BD中英双字,英国,剧情/战争/惊悚,2015-09-11(多伦多电影节)/2016-03-11(美国)/2016-04-15(英国)
331,2016年郭伟亮林雪惊悚犯罪片《老笠》BD粤语中字,中国香港,喜剧/剧情/惊悚,郭伟亮　　　　　　林雪　　　　　　冯淬帆　　　　　　曾国祥　　　　　　姜皓文　　　　　　马志威　　　　　　卢惠光　　　　　　崔碧珈　　　　　　雷琛瑜　　　　　　周祉君
332,2016年郭富城姚晨剧情片《梦想合伙人》HD中英双字, 中国大陆, 剧情 / 爱情, 3.9 / 7998人评价
333,2016年美国6分动作犯罪片《白宫沦陷2:伦敦陷落》BD国英双语双字,英国/美国/保加利亚,动作/犯罪/惊悚,2016-04-08(中国大陆)/2016-03-04(美国/英国)
334,2015年贾樟柯导演剧情片《山河故人》BD国语中字, 中国大陆, 剧情/家庭, 2015-10-30(中国大陆) / 2015-05-20(戛纳电影节)
335,2016年美国7.5分动作战争片《危机13小时》BD中英双字,美国,剧情/动作/战争/惊悚,2016-01-15(美国)
336,2016年邓超罗志祥喜剧奇幻片《美人鱼》BD国粤双语中字, 中国大陆/香港, 喜剧/爱情/奇幻,2016-02-08(中国大陆/香港)
337,2016年陈晓秦岚剧情爱情片《睡在我上铺的兄弟》HD中英双字,中国,剧情/爱情,2016-04-01(中国大陆)
338,2016年白敬亭郭姝彤爱情片《谁的青春不迷茫》HD中英双字,中国大陆,爱情,2016-04-22(中国大陆)
339,2016年英国6.6分喜剧动作片《王牌贱谍：格林斯比》BD中英双字,英国/澳大利亚,喜剧/动作,2016-02-24(美国)
340,2016年张翰赵丽颖喜剧爱情片《女汉子真爱公式》HD中英双字, 中国大陆, 喜剧 / 爱情,2016-03-18(中国大陆)
341,2016年黎明王珞丹爱情悬疑片《消失爱人》BD国语中字, 中国大陆, 爱情/悬疑,2016-01-15(中国大陆)
342,2016年美国奇幻动作片《神战：权力之眼》BD中英双字,美国/澳大利亚,动作/奇幻/冒险,2016-03-11(中国大陆)/2016-02-26(美国)
343,2015年美国6.5分科幻片《幻体：续命游戏》BD中英双字修复版,美国,科幻/悬疑/惊悚,"分  6.5/10 from 13,598 users"
344,2015年美国6.9分悬疑恐怖片《女巫》BD中英双字,美国/英国/加拿大/巴西,悬疑/恐怖,2015-01-27(圣丹斯电影节)/2016-02-19(美国)
345,2016年美国6分恐怖动作片《傲慢与偏见与僵尸》BD中英双字,美国/英国,动作/爱情/恐怖,2016-02-05(美国)
346,2016年梁家辉佟大为悬疑犯罪片《冰河追凶》HD中英双字,中国大陆,动作/悬疑/犯罪,2016-04-15(中国大陆)
347,2016年美国6.3分喜剧爱情片《单身指南/单身啪啪啪》BD中英双字,美国,喜剧/爱情,2016-02-12(美国)
