ID,名称,地区,类别,上映日期
509,2014年美国7.5分剧情片《依然爱丽丝/勿忘我》BD中英双字, 美国/法国, 剧情, 2014-09-08(多伦多电影节)/2015-02-20(美国)
510,2015年古天乐郑秀文剧情爱情片《冲上云霄》BD国粤双语中字,香港/中国大陆,剧情/爱情,2015-02-19(香港/中国大陆)
511,2015年美国奇幻冒险片《第七子:降魔之战》BD国英双语双字,英国/美国/加拿大/中国大陆,冒险/家庭/奇幻/动作,2015-01-16(中国大陆)/2014-12-17(法国)/2015-02-06(美国)
512,2015年美国喜剧动作片《贵族大盗/华丽怪盗》BD中英双字,美国/英国,喜剧/动作,2015-01-23(美国)/2015-04-17(中国大陆)
513,2014年刘承龙李贞贤动作传记片《鸣梁海战》BD中字完整版,韩国,剧情/动作/传记/战争/冒险,2014-12-12(中国大陆)/2014-07-30(韩国)
514,2014年韩国6.6分剧情犯罪片《好朋友们》HD韩语中字,韩国,剧情/犯罪,2014-07-10(韩国)
515,周末经典黄晓明周迅爱情片《撒娇女人最好命》BD国粤双语中字,中国大陆/香港,喜剧/爱情,2014-11-28(中国大陆)
516,2015年郑恺江一燕喜剧爱情《有种你爱我》HD中英双字,中国大陆,喜剧/爱情,2015年2月6日(中国大陆)
517,2014年加拿大8.3分剧情片《妈咪/亲爱妈咪》BD法语中字,加拿大,剧情,2014-10-08(法国)/2014-05-22(戛纳电影节)
518,2015年林志颖郭涛喜剧剧情片《爸爸的假期》HD中英双字,中国大陆,喜剧/家庭,2015-02-19(中国大陆)
519,周末经典真人秀大电影《爸爸去哪儿2》HD国语中字修复,中国大陆,家庭/儿童/真人秀,2015-02-19(中国大陆)
520,2014年彭于晏倪妮爱情片《匆匆那年》BD中英双字,中国,爱情,2014-12-05(中国大陆)
521,2014年爱尔兰8.4分动画奇幻片《海洋之歌》BD中英双字,爱尔兰/丹麦/比利时/卢森堡/法国/中国大陆,剧情/动画/奇幻,2014-09-06(多伦多电影节)/2014-12-10(法国)
522,2014年美国6.2分奇幻冒险片《魔法黑森林》BD中英双字,美国,音乐/奇幻/冒险,2014-12-25(美国)
523,2014年张涵予梁家辉动作冒险片《智取威虎山》BD中英双字,中国大陆/香港,动作/战争/冒险,2014-09-13(日本)
524,2014年美国7.1分剧情传记片《坚不可摧》BD中英双字, 美国, 剧情/传记/战争/运动, 2015-01-30(中国大陆)/2014-11-17(悉尼首映)/2014-12-25(美国)
